preferredName_A	preferredName_B	sign	directed	score
EDN3	NPFF	2	0	0.902
RET	PDLIM7	2	0	0.902
GDNF	GAB1	2	0	0.902
GRB10	GDNF	2	0	0.902
EDN3	GNA15	2	0	0.902
RET	GFRA4	2	0	0.902
BDNF	GRIN2B	2	0	0.902
EDN3	CASR	2	0	0.901
EDN3	GCG	2	0	0.901
GDNF	NRAS	2	0	0.901
EDN3	BDKRB2	2	0	0.901
RET	GFRA2	2	0	0.901
RET	NRTN	2	0	0.901
EDN3	CASR	2	0	0.901
EDN3	GNB4	2	0	0.901
BDNF	SOS1	1	0	0.901
EDN3	TRH	2	0	0.901
EDN3	BDKRB2	2	0	0.901
RET	GFRA2	2	0	0.901
RET	NRTN	2	0	0.901
BDNF	CDK5R1	2	0	0.9
RASA1	GDNF	2	0	0.9
FRS2	BDNF	2	0	0.9
RET	MAPK8	2	1	0.9
GDNF	NCAM1	2	0	0.9
RET	CDH1	2	1	0.9
BDNF	SHC3	2	0	0.9
EDN3	CHRM5	2	0	0.9
EDN3	XCL2	2	0	0.9
BDNF	GIPC1	2	0	0.9
RET	CREB1	2	1	0.9
RET	CTNNA1	2	1	0.9
BDNF	CTNNB1	2	0	0.9
EDN3	ANXA1	2	0	0.9
EDN3	TACR3	2	0	0.9
GDNF	CDH1	2	1	0.9
EDN3	TACR2	2	0	0.9
BDNF	RAP1A	2	0	0.9
RET	PRKCA	2	0	0.9
GDNF	DOK5	2	0	0.9
BDNF	RAP1B	2	0	0.9
NCK1	GDNF	2	0	0.9
GDNF	PIK3R1	2	0	0.9
GDNF	BCAR1	2	1	0.9
BDNF	GAB1	2	0	0.9
BDNF	MAPK9	2	0	0.9
EDN3	XCL1	2	0	0.9
EDN3	GNG12	2	0	0.9
GDNF	CTNNB1	2	1	0.9
BDNF	CDK5	2	0	0.9
MMP7	BDNF	2	1	0.9
PRKCA	GDNF	2	0	0.9
EDN3	HRH1	2	0	0.9
GDNF	CREB1	2	1	0.9
GDNF	PTK2	2	0	0.9
BDNF	CASP6	2	0	0.9
GDNF	DOK6	2	0	0.9
EDN3	GPR132	2	0	0.9
PRKCA	GDNF	2	0	0.9
GDNF	CTNND1	2	1	0.9
BDNF	PIK3R1	1	0	0.9
RET	BCAR1	2	1	0.9
NCK1	GDNF	2	0	0.9
GDNF	DOK6	2	0	0.9
BDNF	SHC2	2	0	0.9
EDN3	FFAR3	2	0	0.9
BDNF	ECD	2	0	0.9
EDN3	OXT	2	0	0.9
BDNF	CRKL	2	0	0.9
EDN3	P2RY2	2	0	0.9
BDNF	RAC1	2	0	0.9
IRS2	RET	2	0	0.9
BDNF	MAPK8	2	0	0.9
SHC1	GDNF	2	0	0.9
GDNF	FRS2	2	0	0.9
GDNF	RAP1A	2	0	0.9
GDNF	MAPK7	2	0	0.9
GDNF	PTPN11	2	0	0.9
BDNF	CRK	2	0	0.9
EDN3	FFAR2	2	0	0.9
EDN3	GNG3	2	0	0.9
EDN3	GPRC6A	2	0	0.9
EDN3	APP	2	0	0.9
RET	PRKCA	2	0	0.9
EDN3	F2RL2	2	0	0.9
BDNF	RASA1	2	0	0.9
GDNF	PIK3R3	2	0	0.9
RET	CTNND1	2	1	0.9
GDNF	GRB7	2	0	0.9
BDNF	TP53	2	0	0.9
PSPN	RET	2	0	0.9
ADAM17	BDNF	2	0	0.9
BDNF	CDC42	2	0	0.9
EDN3	GNGT2	2	0	0.9
BDNF	GRB2	1	0	0.9
RAP1GAP	RET	2	0	0.9
EDN3	GPR4	2	0	0.9
EDN3	CHRM5	2	0	0.9
GDNF	IRS2	2	0	0.9
EDN3	CYSLTR1	2	0	0.9
RASA1	GDNF	2	0	0.9
EDN3	GNG4	2	0	0.9
BDNF	STAT3	2	0	0.9
GDNF	CRK	2	1	0.9
EDN3	NMU	2	0	0.9
GDNF	SHC3	2	0	0.9
EDN3	ANXA1	2	0	0.9
EDN3	APP	2	0	0.9
EDN3	F2RL1	2	0	0.9
GDNF	RAP1GAP	2	0	0.9
PLCG1	BDNF	1	0	0.9
EDN3	GNG10	2	0	0.9
GDNF	PLCG1	2	0	0.9
RET	CRK	2	1	0.9
BDNF	CDH2	2	0	0.9
PDLIM7	GDNF	2	0	0.9
EDN3	CYSLTR1	2	0	0.9
GDNF	DOK5	2	0	0.9
GDNF	CTNNA1	2	1	0.9
GDNF	FRS2	2	0	0.9
RET	CTNNB1	2	1	0.9
GDNF	PXN	2	0	0.9
GDNF	PIK3R2	2	0	0.9
GDNF	GRB2	2	0	0.9
BDNF	NFIC	2	0	0.9
BDNF	TRAF6	2	0	0.9
GDNF	PSPN	2	0	0.9
GDNF	SOS1	2	0	0.9
EDN3	GNRH2	2	0	0.9
BDNF	CTNNA1	2	0	0.9
PLCG1	BDNF	1	0	0.9
BDNF	CTNND1	2	0	0.9
EDN3	GNGT1	2	0	0.9
BDNF	TIAM1	1	0	0.9
BDNF	PTPN11	2	0	0.9
GDNF	MAPK8	2	0	0.9
BDNF	SHC1	1	0	0.9
PDLIM7	GDNF	2	0	0.9
EDN3	LPAR5	2	0	0.9
EDN3	NTS	2	0	0.9
BDNF	MAP2K5	1	0	0.9
EDN3	TAC1	2	0	0.9
BDNF	KIDINS220	2	0	0.9
EDN3	GAST	2	0	0.9
SHC1	GDNF	2	0	0.9
FRS2	BDNF	2	0	0.9
PHOX2B	ASCL1	1	1	0.676
BDNF	IGF1R	1	0	0.66
BDNF	EPHA2	1	0	0.66
BDNF	MET	1	0	0.66
BDNF	INSR	1	0	0.66
CREB1	BDNF	1	0	0.637
CREB1	BDNF	1	0	0.637
EDN3	GDNF	2	0	0.634
EDN3	RET	2	0	0.622
PHOX2B	EDN3	2	0	0.607
PHOX2B	RET	2	0	0.605
BDNF	KDR	1	0	0.602
BDNF	PDGFRA	1	0	0.6
BDNF	CSF1R	1	0	0.6
BDNF	ERBB3	1	0	0.6
BDNF	FGFR2	1	0	0.6
BDNF	EGFR	1	0	0.6
BDNF	ERBB2	1	0	0.6
BDNF	FLT3	1	0	0.6
BDNF	TEK	1	0	0.6
BDNF	PDGFRB	1	0	0.6
BDNF	KIT	1	0	0.6
BDNF	FLT4	1	0	0.6
BDNF	FGFR1	1	0	0.6
BDNF	FLT1	1	0	0.6
BDNF	FGFR4	1	0	0.6
BDNF	ERBB4	1	0	0.6
BDNF	FGFR3	1	0	0.6
PHOX2B	GDNF	2	0	0.572
BDNF	SLC12A5	2	0	0.562
BDNF	VGF	1	0	0.548
FOS	BDNF	1	0	0.542
FOS	BDNF	1	0	0.542
BDNF	CRH	2	0	0.538
BDNF	IGF1	2	0	0.538
BDNF	VEGFA	1	0	0.538
BDNF	TNFSF11	1	0	0.521
ASCL1	BDNF	2	0	0.519
GDNF	VR1	1	0	0.515
GDNF	TRPV1	1	0	0.515
BDNF	NTRK3	1	0	0.512
EGFR	RET	2	0	0.505
BDNF	VEGFC	1	0	0.499
BDNF	ARC	1	1	0.493
BDNF	EPO	1	0	0.483
BDNF	TYRO3	2	0	0.481
BDNF	GRIA1	1	0	0.476
ASCL1	INSM1	1	0	0.475
ASCL1	RND3	1	0	0.472
BDNF	DRD3	2	0	0.471
GDNF	DPYSL2	1	1	0.471
BDNF	ATF4	1	1	0.471
BDNF	CDK1	1	0	0.471
ASCL1	GDNF	2	0	0.47
ASCL1	POU3F2	2	0	0.46
SHH	ASCL1	1	1	0.459
PHOX2B	TRIM11	2	0	0.459
BDNF	MMP1	1	0	0.451
BDNF	PTX3	1	0	0.451
BDNF	SPRY2	1	0	0.451
RET	PLCG2	1	0	0.446
RET	PLCG2	1	0	0.446
ASCL1	PRDM13	2	0	0.446
RET	BDNF	2	0	0.438
ASCL1	STMN1	2	0	0.438
GDNF	CXCL12	1	1	0.438
ASCL1	HES5	1	0	0.436
BDNF	LIMK1	1	0	0.436
ASCL1	EDN3	2	0	0.433
GDNF	NEUROG3	2	0	0.431
PHOX2B	SOX13	-1	0	0.429
BDNF	SHH	1	0	0.428
BDNF	BCL2L2-PABPN1	1	1	0.426
BDNF	MEF2D	1	0	0.426
BDNF	HIST1H1A	1	0	0.426
BDNF	IGF2BP1	2	0	0.426
BDNF	WNT2	2	0	0.426
BDNF	UCP2	2	0	0.426
BDNF	DUSP1	1	0	0.426
BDNF	BCL2L2	1	1	0.426
GDNF	FOS	1	1	0.426
BDNF	VEGFB	1	0	0.426
GDNF	ETV5	1	1	0.426
BDNF	SYN1	2	0	0.426
PHOX2B	ALK	1	1	0.426
BDNF	MAPK1	2	0	0.426
ASCL1	RBPJ	1	0	0.426
ASCL1	PROK2	1	0	0.426
BDNF	PPP1R1B	1	0	0.426
BDNF	SIK1	1	0	0.426
BDNF	CAMK1	2	0	0.426
BDNF	UCP1	1	0	0.426
BDNF	BCL2L11	1	1	0.426
BDNF	GDA	1	0	0.426
BDNF	GAD1	1	0	0.418
GDNF	GZF1	1	0	0.418
BDNF	SLC12A2	1	0	0.418
GDNF	BCL6B	1	1	0.416
BDNF	APP	1	1	0.416
ASCL1	OLIG2	2	0	0.416
ASCL1	NEUROG3	2	0	0.416
APP	GDNF	2	0	0.414
GDNF	SYP	1	0	0.414
BDNF	NPY	1	0	0.414
PHOX2B	HAND2	2	1	0.414
NEUROG2	PHOX2B	2	0	0.414
BDNF	RYR3	2	0	0.414
ASCL1	GAP43	2	0	0.413
GDNF	EGR1	1	1	0.412
BDNF	EEF1A1	2	0	0.408
ETV5	RET	1	0	0.407
GDNF	ID4	1	0	0.406
BDNF	NRG1	1	0	0.406
ASCL1	NEUROG2	2	0	0.405
BDNF	PSEN1	1	0	0.403
BDNF	HTR3A	2	0	0.401
BDNF	FSHR	2	0	0.401
BDNF	GPHN	1	0	0.401
MMP9	GDNF	2	1	0.401
BDNF	HMGCR	2	0	0.401
BDNF	DECR1	1	0	0.401
BDNF	JUN	1	0	0.401
GDNF	CHD1L	2	1	0.401
EDNRB	GDNF	2	0	0.401
EDN3	FOS	1	0	0.401
BDNF	RPS6KB1	2	0	0.401
BDNF	CDH5	2	0	0.401
PROM1	RET	-1	0	0.401
BDNF	ARG1	1	1	0.401
BDNF	SESN2	1	0	0.401
ASCL1	PROM1	2	0	0.401
BDNF	SLC17A7	1	0	0.401
ASCL1	MMP7	1	0	0.401
BDNF	ALDH1A2	1	1	0.401
BDNF	DRD4	2	0	0.401
GDNF	SST	1	0	0.401
BDNF	MMP9	1	0	0.401
BDNF	CDKN1A	1	0	0.401
BDNF	CXCR4	-1	0	0.401
ASCL1	PHOX2A	1	0	0.401
GDNF	SPHK1	1	0	0.401
BDNF	BCL2L1	1	1	0.401
BDNF	SPESP1	1	0	0.401
HTR2A	BDNF	2	1	0.401
BDNF	NOS1	1	0	0.401
BDNF	ICAM1	-1	0	0.401
ASCL1	SYP	-1	0	0.401
BDNF	RANBP9	2	0	0.401
GDNF	IBSP	1	0	0.401
LPAR1	GDNF	-1	1	0.401
BDNF	DYNC1I2	2	0	0.401
BDNF	HSPA5	-1	0	0.401
BDNF	SLC17A8	1	0	0.401
GDNF	CD40	-1	1	0.401
BDNF	ADRB2	-1	1	0.401
RET	NKX2-1	1	0	0.401
MAPK7	BDNF	2	1	0.401
BDNF	MAPK8IP3	1	0	0.401
BDNF	PARD6A	1	0	0.401
ASCL1	MEF2A	2	0	0.401
GDNF	SORL1	2	0	0.401
RET	NKX2-1	1	0	0.401
BDNF	CRP	-1	0	0.401
GDNF	EPCAM	1	1	0.401
ASCL1	RET	2	0	0.397
ASCL1	UBQLN1	2	0	0.379
ASCL1	ID2	2	0	0.371
ASCL1	ID1	2	0	0.371
PHOX2B	BDNF	2	0	0.342
RET	FGF1	2	0	0.329
RET	FGF1	2	0	0.329
RET	FGF8	2	0	0.329
RET	FGF8	2	0	0.329
